SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
Χθονὸς,urn:cite:fuSyntax:0085003tokens.2896877_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:1.1,urn:cite:fuSyntax:0085003sentences.2896877,1,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2896877_6,χθών1
πέδον,urn:cite:fuSyntax:0085003tokens.2896877_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:1.6,urn:cite:fuSyntax:0085003sentences.2896877,6,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896877_3,πέδον1
Σκύθην,urn:cite:fuSyntax:0085003tokens.2896877_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:2.1,urn:cite:fuSyntax:0085003sentences.2896877,8,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896877_10,σκύθησ
οἷμον,urn:cite:fuSyntax:0085003tokens.2896877_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:2.3,urn:cite:fuSyntax:0085003sentences.2896877,10,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896877_9,οἷμος
ἐρημίαν,urn:cite:fuSyntax:0085003tokens.2896877_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:2.7,urn:cite:fuSyntax:0085003sentences.2896877,14,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896877_13,ἐρημία1
Ἥφαιστε,urn:cite:fuSyntax:0085003tokens.2896878_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:3.1,urn:cite:fuSyntax:0085003sentences.2896878,16,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2896878_5,Ἥφαιστοσ
ἐπιστολὰς,urn:cite:fuSyntax:0085003tokens.2896878_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:3.7,urn:cite:fuSyntax:0085003sentences.2896878,22,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2896878_6,ἐπιστολή1
πατὴρ,urn:cite:fuSyntax:0085003tokens.2896878_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:4.3,urn:cite:fuSyntax:0085003sentences.2896878,25,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896878_11,πατήρ1
πέτραις,urn:cite:fuSyntax:0085003tokens.2896878_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:4.8,urn:cite:fuSyntax:0085003sentences.2896878,30,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2896878_14,πέτρα1
δεσμῶν,urn:cite:fuSyntax:0085003tokens.2896878_21,urn:cts:greekLit:tlg0085.tlg003.fuSyn:6.2,urn:cite:fuSyntax:0085003sentences.2896878,36,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896878_24,δεσμόσ
πέδαις,urn:cite:fuSyntax:0085003tokens.2896878_24,urn:cts:greekLit:tlg0085.tlg003.fuSyn:6.5,urn:cite:fuSyntax:0085003sentences.2896878,39,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2896878_22,πέδη1
ἄνθος,urn:cite:fuSyntax:0085003tokens.2896879_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:7.4,urn:cite:fuSyntax:0085003sentences.2896879,44,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896879_5,ἄνθοσ
πυρὸς,urn:cite:fuSyntax:0085003tokens.2896879_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:7.7,urn:cite:fuSyntax:0085003sentences.2896879,47,n-s---ng-,urn:cite:fuSyntax:0085003tokens.2896879_8,πῦρ1
σέλας,urn:cite:fuSyntax:0085003tokens.2896879_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:7.8,urn:cite:fuSyntax:0085003sentences.2896879,48,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896879_5,σέλασ
ἁμαρτίας,urn:cite:fuSyntax:0085003tokens.2896880_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:9.1,urn:cite:fuSyntax:0085003sentences.2896880,56,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2896880_8,ἁμαρτία1
θεοῖς,urn:cite:fuSyntax:0085003tokens.2896880_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:9.4,urn:cite:fuSyntax:0085003sentences.2896880,59,n-p---md-,urn:cite:fuSyntax:0085003tokens.2896880_7,θεόσ
δίκην,urn:cite:fuSyntax:0085003tokens.2896880_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:9.6,urn:cite:fuSyntax:0085003sentences.2896880,61,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896880_7,δίκη1
Διὸς,urn:cite:fuSyntax:0085003tokens.2896880_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:10.5,urn:cite:fuSyntax:0085003sentences.2896880,67,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896880_15,Ζεύσ
τυραννίδα,urn:cite:fuSyntax:0085003tokens.2896880_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:10.6,urn:cite:fuSyntax:0085003sentences.2896880,68,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896880_16,τυραννίσ
τρόπου,urn:cite:fuSyntax:0085003tokens.2896880_21,urn:cts:greekLit:tlg0085.tlg003.fuSyn:11.6,urn:cite:fuSyntax:0085003sentences.2896880,74,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896880_20,τρόποσ
Κράτος,urn:cite:fuSyntax:0085003tokens.2896881_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:12.1,urn:cite:fuSyntax:0085003sentences.2896881,76,n-s---nv-,urn:cite:fuSyntax:0085003tokens.2896881_3,κράτοσ
Βία,urn:cite:fuSyntax:0085003tokens.2896881_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:12.2,urn:cite:fuSyntax:0085003sentences.2896881,77,n-s---fv-,urn:cite:fuSyntax:0085003tokens.2896881_3,βία1
ἐντολὴ,urn:cite:fuSyntax:0085003tokens.2896881_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:12.7,urn:cite:fuSyntax:0085003sentences.2896881,82,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896881_9,ἐντολή1
Διὸς,urn:cite:fuSyntax:0085003tokens.2896881_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:12.8,urn:cite:fuSyntax:0085003sentences.2896881,83,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896881_7,Ζεύσ
τέλος,urn:cite:fuSyntax:0085003tokens.2896881_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:13.2,urn:cite:fuSyntax:0085003sentences.2896881,85,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896881_9,τέλοσ
θεὸν,urn:cite:fuSyntax:0085003tokens.2896882_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:14.6,urn:cite:fuSyntax:0085003sentences.2896882,96,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896882_7,θεόσ
βίᾳ,urn:cite:fuSyntax:0085003tokens.2896882_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:15.2,urn:cite:fuSyntax:0085003sentences.2896882,98,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2896882_7,βία1
φάραγγι,urn:cite:fuSyntax:0085003tokens.2896882_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:15.3,urn:cite:fuSyntax:0085003sentences.2896882,99,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2896882_10,φάραγξ1
ἀνάγκη,urn:cite:fuSyntax:0085003tokens.2896883_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:16.3,urn:cite:fuSyntax:0085003sentences.2896883,105,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896883_0,ἀνάγκη1
τόλμαν,urn:cite:fuSyntax:0085003tokens.2896883_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:16.6,urn:cite:fuSyntax:0085003sentences.2896883,108,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896883_7,τόλμα1
πατρὸς,urn:cite:fuSyntax:0085003tokens.2896884_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:17.3,urn:cite:fuSyntax:0085003sentences.2896884,113,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896884_4,πατήρ1
λόγους,urn:cite:fuSyntax:0085003tokens.2896884_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:17.4,urn:cite:fuSyntax:0085003sentences.2896884,114,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2896884_1,λόγοσ
Θέμιδος,urn:cite:fuSyntax:0085003tokens.2896885_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:18.3,urn:cite:fuSyntax:0085003sentences.2896885,119,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2896885_5,θέμισ
αἰπυμῆτα,urn:cite:fuSyntax:0085003tokens.2896885_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:18.4,urn:cite:fuSyntax:0085003sentences.2896885,120,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2896885_5,αἰπυμήτησ
παῖ,urn:cite:fuSyntax:0085003tokens.2896885_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:18.5,urn:cite:fuSyntax:0085003sentences.2896885,121,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2896885_12,παῖσ
ἄκοντά,urn:cite:fuSyntax:0085003tokens.2896885_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:19.1,urn:cite:fuSyntax:0085003sentences.2896885,123,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896885_8,ἄκων1
